release_month,count
1929-07-01,98
1929-08-01,121
1929-09-01,169
1929-10-01,125
1929-11-01,144
1929-12-01,133
1930-01-01,228
1930-02-01,146
1930-03-01,180
1930-04-01,145
1930-05-01,148
1930-06-01,104
1930-07-01,96
1930-08-01,133
1930-09-01,129
1930-10-01,147
1930-11-01,177
1930-12-01,283
1931-01-01,200
1931-02-01,144
1931-03-01,138
1931-04-01,155
1931-05-01,137
1931-06-01,90
1931-07-01,100
1931-08-01,127
1931-09-01,153
1931-10-01,173
1931-11-01,158
1931-12-01,261
1932-01-01,211
1932-02-01,131
1932-03-01,188
1932-04-01,156
1932-05-01,112
1932-06-01,117
1932-07-01,104
1932-08-01,121
1932-09-01,157
1932-10-01,173
1932-11-01,149
1932-12-01,251
1933-01-01,346
1933-02-01,136
1933-03-01,164
1933-04-01,137
1933-05-01,120
1933-06-01,134
1933-07-01,109
1933-08-01,111
1933-09-01,135
1933-10-01,134
1933-11-01,155
1933-12-01,190
1934-01-01,325
1934-02-01,136
1934-03-01,182
1934-04-01,146
1934-05-01,152
1934-06-01,139
1934-07-01,104
1934-08-01,120
1934-09-01,131
1934-10-01,156
1934-11-01,170
1934-12-01,181
1935-01-01,397
1935-02-01,154
1935-03-01,171
1935-04-01,144
1935-05-01,139
1935-06-01,125
1935-07-01,118
1935-08-01,117
1935-09-01,152
1935-10-01,163
1935-11-01,168
1935-12-01,189
1936-01-01,369
1936-02-01,145
1936-03-01,156
1936-04-01,141
1936-05-01,135
1936-06-01,131
1936-07-01,111
1936-08-01,152
1936-09-01,157
1936-10-01,170
1936-11-01,187
1936-12-01,184
1937-01-01,435
1937-02-01,154
1937-03-01,150
1937-04-01,138
1937-05-01,136
1937-06-01,123
1937-07-01,138
1937-08-01,146
1937-09-01,176
1937-10-01,165
1937-11-01,170
1937-12-01,196
1938-01-01,425
1938-02-01,189
1938-03-01,176
1938-04-01,132
1938-05-01,128
1938-06-01,136
1938-07-01,121
1938-08-01,126
1938-09-01,165
1938-10-01,172
1938-11-01,147
1938-12-01,194
1939-01-01,419
1939-02-01,131
1939-03-01,168
1939-04-01,152
1939-05-01,131
1939-06-01,133
1939-07-01,96
1939-08-01,140
1939-09-01,140
1939-10-01,131
1939-11-01,155
1939-12-01,194
1940-01-01,337
1940-02-01,117
1940-03-01,138
1940-04-01,139
1940-05-01,145
1940-06-01,115
1940-07-01,134
1940-08-01,153
1940-09-01,135
1940-10-01,171
1940-11-01,152
1940-12-01,190
1941-01-01,307
1941-02-01,188
1941-03-01,133
1941-04-01,130
1941-05-01,124
1941-06-01,115
1941-07-01,100
1941-08-01,141
1941-09-01,142
1941-10-01,181
1941-11-01,141
1941-12-01,201
1942-01-01,420
1942-02-01,127
1942-03-01,161
1942-04-01,132
1942-05-01,129
1942-06-01,108
1942-07-01,96
1942-08-01,126
1942-09-01,139
1942-10-01,187
1942-11-01,162
1942-12-01,160
1943-01-01,452
1943-02-01,89
1943-03-01,132
1943-04-01,152
1943-05-01,108
1943-06-01,115
1943-07-01,98
1943-08-01,107
1943-09-01,120
1943-10-01,128
1943-11-01,152
1943-12-01,151
1944-01-01,319
1944-02-01,91
1944-03-01,158
1944-04-01,129
1944-05-01,102
1944-06-01,101
1944-07-01,99
1944-08-01,92
1944-09-01,106
1944-10-01,111
1944-11-01,123
1944-12-01,173
1945-01-01,276
1945-02-01,82
1945-03-01,91
1945-04-01,111
1945-05-01,101
1945-06-01,97
1945-07-01,105
1945-08-01,105
1945-09-01,107
1945-10-01,126
1945-11-01,146
1945-12-01,261
1946-01-01,354
1946-02-01,88
1946-03-01,96
1946-04-01,106
1946-05-01,120
1946-06-01,115
1946-07-01,124
1946-08-01,118
1946-09-01,113
1946-10-01,137
1946-11-01,127
1946-12-01,143
1947-01-01,380
1947-02-01,112
1947-03-01,106
1947-04-01,95
1947-05-01,122
1947-06-01,118
1947-07-01,111
1947-08-01,128
1947-09-01,129
1947-10-01,124
1947-11-01,115
1947-12-01,173
1948-01-01,506
1948-02-01,119
1948-03-01,139
1948-04-01,122
1948-05-01,106
1948-06-01,93
1948-07-01,111
1948-08-01,126
1948-09-01,142
1948-10-01,141
1948-11-01,128
1948-12-01,167
1949-01-01,549
1949-02-01,125
1949-03-01,131
1949-04-01,150
1949-05-01,121
1949-06-01,113
1949-07-01,167
1949-08-01,132
1949-09-01,138
1949-10-01,166
1949-11-01,154
1949-12-01,179
1950-01-01,227
1950-02-01,143
1950-03-01,166
1950-04-01,133
1950-05-01,134
1950-06-01,135
1950-07-01,117
1950-08-01,177
1950-09-01,162
1950-10-01,150
1950-11-01,171
1950-12-01,509
1951-01-01,601
1951-02-01,138
1951-03-01,190
1951-04-01,140
1951-05-01,140
1951-06-01,156
1951-07-01,159
1951-08-01,136
1951-09-01,158
1951-10-01,169
1951-11-01,171
1951-12-01,172
1952-01-01,630
1952-02-01,196
1952-03-01,146
1952-04-01,127
1952-05-01,158
1952-06-01,125
1952-07-01,117
1952-08-01,127
1952-09-01,150
1952-10-01,182
1952-11-01,147
1952-12-01,196
1953-01-01,607
1953-02-01,142
1953-03-01,164
1953-04-01,163
1953-05-01,142
1953-06-01,160
1953-07-01,148
1953-08-01,152
1953-09-01,151
1953-10-01,180
1953-11-01,180
1953-12-01,270
1954-01-01,673
1954-02-01,148
1954-03-01,174
1954-04-01,160
1954-05-01,135
1954-06-01,192
1954-07-01,187
1954-08-01,150
1954-09-01,169
1954-10-01,167
1954-11-01,160
1954-12-01,239
1955-01-01,700
1955-02-01,144
1955-03-01,160
1955-04-01,158
1955-05-01,156
1955-06-01,140
1955-07-01,141
1955-08-01,148
1955-09-01,202
1955-10-01,185
1955-11-01,171
1955-12-01,259
1956-01-01,711
1956-02-01,169
1956-03-01,182
1956-04-01,171
1956-05-01,164
1956-06-01,176
1956-07-01,154
1956-08-01,168
1956-09-01,173
1956-10-01,207
1956-11-01,192
1956-12-01,258
1957-01-01,773
1957-02-01,153
1957-03-01,189
1957-04-01,193
1957-05-01,201
1957-06-01,152
1957-07-01,187
1957-08-01,191
1957-09-01,206
1957-10-01,199
1957-11-01,174
1957-12-01,266
1958-01-01,888
1958-02-01,167
1958-03-01,189
1958-04-01,251
1958-05-01,160
1958-06-01,194
1958-07-01,176
1958-08-01,178
1958-09-01,162
1958-10-01,219
1958-11-01,187
1958-12-01,248
1959-01-01,915
1959-02-01,165
1959-03-01,224
1959-04-01,167
1959-05-01,182
1959-06-01,204
1959-07-01,155
1959-08-01,184
1959-09-01,190
1959-10-01,223
1959-11-01,183
1959-12-01,249
1960-01-01,1011
1960-02-01,188
1960-03-01,239
1960-04-01,204
1960-05-01,180
1960-06-01,207
1960-07-01,157
1960-08-01,164
1960-09-01,212
1960-10-01,220
1960-11-01,200
1960-12-01,262
1961-01-01,1019
1961-02-01,208
1961-03-01,230
1961-04-01,197
1961-05-01,222
1961-06-01,188
1961-07-01,170
1961-08-01,194
1961-09-01,199
1961-10-01,232
1961-11-01,220
1961-12-01,302
1962-01-01,1039
1962-02-01,214
1962-03-01,257
1962-04-01,231
1962-05-01,212
1962-06-01,193
1962-07-01,175
1962-08-01,184
1962-09-01,217
1962-10-01,226
1962-11-01,216
1962-12-01,283
1963-01-01,1081
1963-02-01,224
1963-03-01,206
1963-04-01,190
1963-05-01,200
1963-06-01,211
1963-07-01,169
1963-08-01,195
1963-09-01,179
1963-10-01,232
1963-11-01,207
1963-12-01,340
1964-01-01,1280
1964-02-01,219
1964-03-01,207
1964-04-01,245
1964-05-01,183
1964-06-01,231
1964-07-01,178
1964-08-01,185
1964-09-01,208
1964-10-01,250
1964-11-01,217
1964-12-01,373
1965-01-01,1366
1965-02-01,197
1965-03-01,236
1965-04-01,233
1965-05-01,239
1965-06-01,224
1965-07-01,224
1965-08-01,225
1965-09-01,245
1965-10-01,255
1965-11-01,257
1965-12-01,340
1966-01-01,1432
1966-02-01,259
1966-03-01,274
1966-04-01,238
1966-05-01,236
1966-06-01,255
1966-07-01,211
1966-08-01,226
1966-09-01,203
1966-10-01,254
1966-11-01,222
1966-12-01,350
1967-01-01,1596
1967-02-01,247
1967-03-01,269
1967-04-01,281
1967-05-01,256
1967-06-01,278
1967-07-01,226
1967-08-01,235
1967-09-01,267
1967-10-01,254
1967-11-01,237
1967-12-01,436
1968-01-01,1751
1968-02-01,261
1968-03-01,289
1968-04-01,294
1968-05-01,258
1968-06-01,292
1968-07-01,207
1968-08-01,248
1968-09-01,267
1968-10-01,321
1968-11-01,269
1968-12-01,423
1969-01-01,1874
1969-02-01,258
1969-03-01,305
1969-04-01,268
1969-05-01,302
1969-06-01,316
1969-07-01,250
1969-08-01,241
1969-09-01,249
1969-10-01,309
1969-11-01,306
1969-12-01,390
1970-01-01,1890
1970-02-01,319
1970-03-01,323
1970-04-01,290
1970-05-01,292
1970-06-01,286
1970-07-01,240
1970-08-01,240
1970-09-01,310
1970-10-01,309
1970-11-01,297
1970-12-01,387
1971-01-01,1821
1971-02-01,274
1971-03-01,353
1971-04-01,313
1971-05-01,264
1971-06-01,304
1971-07-01,225
1971-08-01,241
1971-09-01,305
1971-10-01,301
1971-11-01,264
1971-12-01,375
1972-01-01,1915
1972-02-01,297
1972-03-01,369
1972-04-01,299
1972-05-01,281
1972-06-01,314
1972-07-01,243
1972-08-01,254
1972-09-01,287
1972-10-01,320
1972-11-01,302
1972-12-01,420
1973-01-01,1858
1973-02-01,278
1973-03-01,364
1973-04-01,313
1973-05-01,337
1973-06-01,290
1973-07-01,219
1973-08-01,236
1973-09-01,331
1973-10-01,304
1973-11-01,272
1973-12-01,407
1974-01-01,1885
1974-02-01,321
1974-03-01,321
1974-04-01,340
1974-05-01,307
1974-06-01,353
1974-07-01,242
1974-08-01,253
1974-09-01,274
1974-10-01,333
1974-11-01,282
1974-12-01,388
1975-01-01,1989
1975-02-01,263
1975-03-01,336
1975-04-01,324
1975-05-01,315
1975-06-01,269
1975-07-01,268
1975-08-01,234
1975-09-01,260
1975-10-01,312
1975-11-01,284
1975-12-01,370
1976-01-01,1889
1976-02-01,278
1976-03-01,295
1976-04-01,339
1976-05-01,299
1976-06-01,280
1976-07-01,283
1976-08-01,239
1976-09-01,318
1976-10-01,343
1976-11-01,330
1976-12-01,420
1977-01-01,1765
1977-02-01,276
1977-03-01,308
1977-04-01,312
1977-05-01,303
1977-06-01,312
1977-07-01,247
1977-08-01,241
1977-09-01,319
1977-10-01,306
1977-11-01,289
1977-12-01,388
1978-01-01,1972
1978-02-01,325
1978-03-01,324
1978-04-01,282
1978-05-01,304
1978-06-01,320
1978-07-01,256
1978-08-01,272
1978-09-01,306
1978-10-01,354
1978-11-01,328
1978-12-01,458
1979-01-01,2003
1979-02-01,288
1979-03-01,360
1979-04-01,330
1979-05-01,324
1979-06-01,341
1979-07-01,271
1979-08-01,291
1979-09-01,333
1979-10-01,322
1979-11-01,315
1979-12-01,465
1980-01-01,2040
1980-02-01,315
1980-03-01,374
1980-04-01,318
1980-05-01,322
1980-06-01,292
1980-07-01,256
1980-08-01,277
1980-09-01,330
1980-10-01,397
1980-11-01,302
1980-12-01,393
1981-01-01,1954
1981-02-01,320
1981-03-01,342
1981-04-01,317
1981-05-01,315
1981-06-01,286
1981-07-01,283
1981-08-01,284
1981-09-01,325
1981-10-01,360
1981-11-01,287
1981-12-01,400
1982-01-01,2102
1982-02-01,339
1982-03-01,343
1982-04-01,373
1982-05-01,333
1982-06-01,319
1982-07-01,256
1982-08-01,282
1982-09-01,353
1982-10-01,362
1982-11-01,265
1982-12-01,423
1983-01-01,2117
1983-02-01,324
1983-03-01,352
1983-04-01,344
1983-05-01,325
1983-06-01,340
1983-07-01,300
1983-08-01,288
1983-09-01,325
1983-10-01,341
1983-11-01,289
1983-12-01,397
1984-01-01,2087
1984-02-01,321
1984-03-01,342
1984-04-01,374
1984-05-01,309
1984-06-01,404
1984-07-01,286
1984-08-01,267
1984-09-01,369
1984-10-01,366
1984-11-01,315
1984-12-01,443
1985-01-01,2164
1985-02-01,298
1985-03-01,356
1985-04-01,343
1985-05-01,341
1985-06-01,380
1985-07-01,315
1985-08-01,298
1985-09-01,326
1985-10-01,398
1985-11-01,321
1985-12-01,396
1986-01-01,2191
1986-02-01,333
1986-03-01,339
1986-04-01,357
1986-05-01,347
1986-06-01,337
1986-07-01,336
1986-08-01,326
1986-09-01,349
1986-10-01,430
1986-11-01,304
1986-12-01,452
1987-01-01,2403
1987-02-01,353
1987-03-01,360
1987-04-01,347
1987-05-01,376
1987-06-01,395
1987-07-01,325
1987-08-01,347
1987-09-01,394
1987-10-01,433
1987-11-01,329
1987-12-01,443
1988-01-01,2440
1988-02-01,315
1988-03-01,353
1988-04-01,385
1988-05-01,375
1988-06-01,425
1988-07-01,329
1988-08-01,319
1988-09-01,385
1988-10-01,436
1988-11-01,361
1988-12-01,459
1989-01-01,2608
1989-02-01,351
1989-03-01,361
1989-04-01,384
1989-05-01,360
1989-06-01,400
1989-07-01,331
1989-08-01,338
1989-09-01,415
1989-10-01,471
1989-11-01,398
1989-12-01,500
1990-01-01,2514
1990-02-01,393
1990-03-01,398
1990-04-01,420
1990-05-01,355
1990-06-01,418
1990-07-01,327
1990-08-01,303
1990-09-01,405
1990-10-01,404
1990-11-01,393
1990-12-01,525
1991-01-01,2556
1991-02-01,345
1991-03-01,374
1991-04-01,355
1991-05-01,387
1991-06-01,398
1991-07-01,362
1991-08-01,326
1991-09-01,418
1991-10-01,428
1991-11-01,390
1991-12-01,567
1992-01-01,2656
1992-02-01,343
1992-03-01,362
1992-04-01,409
1992-05-01,352
1992-06-01,391
1992-07-01,321
1992-08-01,319
1992-09-01,424
1992-10-01,403
1992-11-01,353
1992-12-01,479
1993-01-01,2457
1993-02-01,328
1993-03-01,364
1993-04-01,387
1993-05-01,412
1993-06-01,425
1993-07-01,329
1993-08-01,303
1993-09-01,431
1993-10-01,440
1993-11-01,369
1993-12-01,479
1994-01-01,2510
1994-02-01,325
1994-03-01,351
1994-04-01,382
1994-05-01,369
1994-06-01,411
1994-07-01,317
1994-08-01,307
1994-09-01,376
1994-10-01,434
1994-11-01,371
1994-12-01,457
1995-01-01,2574
1995-02-01,291
1995-03-01,356
1995-04-01,382
1995-05-01,408
1995-06-01,388
1995-07-01,351
1995-08-01,311
1995-09-01,419
1995-10-01,443
1995-11-01,365
1995-12-01,512
1996-01-01,2365
1996-02-01,372
1996-03-01,377
1996-04-01,399
1996-05-01,347
1996-06-01,383
1996-07-01,305
1996-08-01,387
1996-09-01,418
